	K-Value	Accuracy
0	5	0.1
1	10	0.1
2	15	0.1
3	20	0.1
4	25	0.09
5	30	0.08
6	35	0.08
7	40	0.07
8	45	0.08
9	50	0.08
10	55	0.1
11	60	0.1
12	65	0.11
13	70	0.1
14	75	0.11
