	K-Value	Accuracy
0	5	0.12
1	10	0.15
2	15	0.12
3	20	0.13
4	25	0.13
5	30	0.13
6	35	0.13
7	40	0.12
8	45	0.13
9	50	0.13
10	55	0.13
11	60	0.11
12	65	0.11
13	70	0.12
14	75	0.13
