	K-Value	Accuracy
0	5	0.11
1	10	0.09
2	15	0.08
3	20	0.08
4	25	0.08
5	30	0.09
6	35	0.08
7	40	0.09
8	45	0.09
9	50	0.1
10	55	0.1
11	60	0.11
12	65	0.1
13	70	0.13
14	75	0.14
