	K-Value	Accuracy
0	5	0.08
1	10	0.06
2	15	0.08
3	20	0.07
4	25	0.09
5	30	0.1
6	35	0.1
7	40	0.09
8	45	0.09
9	50	0.1
10	55	0.09
11	60	0.1
12	65	0.1
13	70	0.1
14	75	0.1
