,epoch,loss_train,loss_test,accuracy_train,accuracy_test
0,0.0,0.08653555609385173,0.0816814860343933,0.43288333333333334,0.6316
1,1.0,0.07367886920571327,0.06345340567231178,0.61945,0.6357
2,2.0,0.05492644723455111,0.046298559692502024,0.6681333333333334,0.7219
3,3.0,0.04131181233152747,0.035357377950847146,0.7681333333333333,0.8158
4,4.0,0.03272163626576463,0.028621469329297544,0.83325,0.8557
5,5.0,0.02755392151027918,0.024652744137123227,0.8552,0.868
6,6.0,0.02438699070283522,0.022142937542684375,0.8659333333333333,0.877
7,7.0,0.022295459569913023,0.0204390016278252,0.8742833333333333,0.8827
8,8.0,0.020819664248234282,0.01921107222987339,0.8796666666666667,0.8869
9,9.0,0.01972222675749411,0.018283090473432094,0.8838333333333334,0.8916
10,10.0,0.01887209132463516,0.017555163863953203,0.88745,0.8944
11,11.0,0.01819194367461217,0.016967150866845623,0.8904833333333333,0.8971
12,12.0,0.01763349888769444,0.016480882448656486,0.8930333333333333,0.8989
13,13.0,0.017165161050790145,0.01607102239537053,0.8949,0.9001
14,14.0,0.01676543521299415,0.015720094939228147,0.8965166666666666,0.9018
15,15.0,0.016419213839961838,0.015415645057568327,0.8979333333333334,0.903
16,16.0,0.016115579387079925,0.015148560787527823,0.8997666666666667,0.9038
17,17.0,0.01584645406724497,0.014912002887867856,0.90135,0.9046
18,18.0,0.015605729919619626,0.014700742238992825,0.9022833333333333,0.9063
19,19.0,0.015388702657349252,0.0145107023894554,0.9036166666666666,0.9079
20,20.0,0.015191684507056684,0.014338662447745447,0.9043666666666667,0.9086
21,21.0,0.01501174407240469,0.014182037646335084,0.9052,0.9097
22,22.0,0.014846513834816869,0.014038732038752642,0.90575,0.9102
23,23.0,0.014694061864188795,0.013907024642277974,0.9069166666666667,0.9106
24,24.0,0.014552790972576864,0.013785489844484255,0.9076333333333333,0.9109
25,25.0,0.01442136927677008,0.013672936490143183,0.9084166666666667,0.9116
26,26.0,0.0142986756782484,0.013568357645976357,0.9091,0.9125
27,27.0,0.014183758246894771,0.013470897913625232,0.9097333333333333,0.9127
28,28.0,0.014075804391555721,0.013379824881773675,0.9104333333333333,0.9131
29,29.0,0.013974113901101131,0.013294505517504876,0.9111666666666667,0.9138
30,30.0,0.013878081599150513,0.01321439363755053,0.91165,0.9142
31,31.0,0.013787181866708367,0.013139007133588893,0.9121,0.915
32,32.0,0.013700953786518463,0.013067926998244366,0.9127333333333333,0.9155
33,33.0,0.013618992260001444,0.013000778903416358,0.9132333333333333,0.9158
34,34.0,0.013540940520107203,0.012937235237372805,0.9138166666666667,0.9158
35,35.0,0.013466482340476553,0.012877001347893383,0.9142333333333333,0.9161
36,36.0,0.013395336321663733,0.012819815159012796,0.9147166666666666,0.9162
37,37.0,0.013327251328544905,0.01276544071600656,0.9150333333333334,0.9167
38,38.0,0.013262002138441312,0.012713665805995698,0.91535,0.9168
39,39.0,0.013199386768732802,0.012664300092274788,0.9157833333333333,0.9173
